id,word,lang_code,validated,meaning,usages,variations,source
1112,तथा,hi,0, and,in the same way as,N/A,Wiktionary
1113,ए,hi,0,the eighth vowel in Hindi,ezafe,N/A,Wiktionary
1114,का,hi,0, alternative form of क्या (kyā); what,N/A,N/A,Wiktionary
1117,मैं,hi,0,I (the first person personal singular pronoun),N/A,N/A,Wiktionary
1118,आप,hi,0,"ye, you", self,N/A,Wiktionary
1120,पास होना,hi,0,N/A,N/A,N/A,N/A
1121,प्रति,hi,0,copy,per,N/A,Wiktionary
1123,के लिये,hi,0,N/A,N/A,N/A,N/A
1124,करना,hi,0," to do (to perform or execute, to commit)"," to work, do work;  to make, create",N/A,Wiktionary
1126,साथ,hi,0,together,"side (figuratively, the region near someone)",N/A,Wiktionary
1128,यह,hi,0, this one; he; she; it (proximal third person singular personal pronoun),this,N/A,Wiktionary
1133,लेकिन,hi,0,"but, however",N/A,N/A,Wiktionary
1135,कहो,hi,0,"inflection of कहना (kahnā):
second-person familiar future subjunctive
second-person familiar present imperative",second-person familiar future subjunctive; second-person familiar present imperative,N/A,Wiktionary
1137,क्या,hi,0,initial interrogative particle," what?;  such, what, how",N/A,Wiktionary
1138,उनके,hi,0,"inflection of उनका (unkā):
oblique masculine singular
vocative masculine singular
direct masculine plural
oblique masculine plural
vocative masculine plural",oblique masculine singular; vocative masculine singular,N/A,Wiktionary
1140,जाओ,hi,0,"inflection of जाना (jānā):
second-person familiar future subjunctive
second-person familiar present imperative",second-person familiar future subjunctive; second-person familiar present imperative,N/A,Wiktionary
1141,या,hi,0,or,O (vocative particle),N/A,Wiktionary
1142,द्वारा,hi,0,"door, gate",N/A,N/A,Wiktionary
1143,प्राप्त,hi,0,"obtained, found",befallen,N/A,Wiktionary
1144,वह,hi,0,that," he, she, it; that one (distal third person singular personal pronoun)",N/A,Wiktionary
1145,मेरे,hi,0,"inflection of मेरा (merā):
oblique/vocative masculine singular
masculine plural",oblique/vocative masculine singular; masculine plural,N/A,Wiktionary
1146,कर सकते हैं,hi,0,N/A,N/A,N/A,N/A
1148,जानना,hi,0,"to know, comprehend, understand",to be familiar with,N/A,Wiktionary
1149,अगर,hi,0,agarwood,if,N/A,Wiktionary
1150,मुझे,hi,0,dative of मैं (ma͠i),N/A,N/A,Wiktionary
1151,आपका,hi,0,genitive of आप (āp); your,N/A,N/A,Wiktionary
1153,who,hi,0,N/A,N/A,N/A,N/A
1155,उनका,hi,0,genitive plural of वह (vah); their,N/A,N/A,Wiktionary
1156,मर्जी,hi,0,nuqtaless form of मर्ज़ी (marzī),N/A,N/A,Wiktionary
1158,चाहेंगे,hi,0,"inflection of चाहना (cāhnā):
first/third-person plural masculine future indicative
second-person formal masculine future indicative",first/third-person plural masculine future indicative; second-person formal masculine future indicative,N/A,Wiktionary
1159,बनाना,hi,0,"to make, create, produce","to cause to be, make; to turn into, form",N/A,Wiktionary
1160,अभी - अभी,hi,0,N/A,N/A,N/A,N/A
1162,सोच,hi,0,"contemplation, thought, musing",N/A,N/A,Wiktionary
1163,समय,hi,0,time,"hours; at the time that, when",N/A,Wiktionary
1165,देखो,hi,0,"inflection of देखना (dekhnā):
second-person plural subjunctive
second-person plural present imperative",second-person plural subjunctive; second-person plural present imperative,N/A,Wiktionary
1170,आइए,hi,0,alternative form of आइये (āiye),N/A,N/A,Wiktionary
1172,लेना,hi,0,to take,"to buy, get; to take on",N/A,Wiktionary
1173,वर्ष,hi,0,"annum, year",N/A,N/A,Wiktionary
1174,उसे,hi,0," dative singular of वह (vah); to him, her, it",N/A,N/A,Wiktionary
1175,उन्हें,hi,0, dative plural of वह (vah),N/A,N/A,Wiktionary
1177,चाहते हैं,hi,0,N/A,N/A,N/A,N/A
1178,कैसे,hi,0,how,"inflection of कैसा (kaisā):
oblique/vocative masculine singular
direct/oblique/vocative masculine plural; oblique/vocative masculine singular",N/A,Wiktionary
1180,कौन,hi,0, who?,N/A,N/A,Wiktionary
1181,अभी,hi,0,right now,just now,N/A,Wiktionary
1183,अन्य,hi,0,"other, different",N/A,N/A,Wiktionary
1184,सकता है,hi,0,N/A,N/A,N/A,N/A
1185,हमारी,hi,0,feminine singular of हमारा (hamārā),feminine plural of हमारा (hamārā),N/A,Wiktionary
1187,यहां,hi,0,here,N/A,N/A,Wiktionary
1188,फिर,hi,0,"then, afterwards; so",again,N/A,Wiktionary
1189,से,hi,0,N/A,N/A,N/A,N/A
1190,देखना,hi,0,"to see, look, watch","to consider, ponder; to meet",N/A,Wiktionary
1191,मार्ग,hi,0,"path, road, route",way,N/A,Wiktionary
1193,इन,hi,0,"indirect singular of यह (yah); these, him, her, it",N/A,N/A,Wiktionary
1195,चीज़,hi,0,"thing, object, item", cheez; cheese,N/A,Wiktionary
1196,अच्छी तरह से,hi,0,N/A,N/A,N/A,N/A
1197,चूंकि,hi,0,alternative spelling of चूँकि (cū̃ki),N/A,N/A,Wiktionary
1198,भी,hi,0,even,"also, too",N/A,Wiktionary
1199,दो,hi,0,two (2),"inflection of देना (denā):
second-person plural subjunctive
second-person plural present imperative: give; second-person plural subjunctive",N/A,Wiktionary
1201,बताना,hi,0,"to tell, explain","to indicate, show",N/A,Wiktionary
1202,अच्छा,hi,0,"good, nice, fine","delicious, tasty; well",N/A,Wiktionary
1203,प्रथम,hi,0,"first, foremost","preeminent; a male given name, Pratham, from Sanskrit",N/A,Wiktionary
1204,पुरुष,hi,0,"man, male",person,N/A,Wiktionary
1205,दिन,hi,0,day (period from one midnight to the next),"day (any period of twenty-four hours); day, daytime (period between sunrise and sunset)",N/A,Wiktionary
1206,पाना,hi,0,"to get, receive","to obtain; to win, attain, achieve",N/A,Wiktionary
1207,देना,hi,0,"to give, grant, award","to lay (eggs), give birth to; to orate, deliver",N/A,Wiktionary
1208,अधिक,hi,0,much,many; too much,N/A,Wiktionary
1209,नया,hi,0,new,N/A,N/A,Wiktionary
1210,एक,hi,0,one; 1,"sole, only; united",N/A,Wiktionary
1211,हम,hi,0,"we: first-person plural personal pronoun, plural of मैं (ma͠i)"," I: first-person personal singular personal pronoun;  also, as well, likewise",N/A,Wiktionary
1212,कोई,hi,0,some,certain; any,N/A,Wiktionary
1213,वे,hi,0,"direct plural of वह (vah); they, those, he , she",N/A,N/A,Wiktionary
1215,उसके,hi,0,"inflection of उसका (uskā):
oblique/vocative masculine singular
masculine plural",oblique/vocative masculine singular; masculine plural,N/A,Wiktionary
1216,ज़रूरत,hi,0,necessity,requirement,N/A,Wiktionary
1218,वहां,hi,0,N/A,N/A,N/A,N/A
1219,चाहिए,hi,0,"third-person plural present imperative of चाहना (cāhnā): should, ought to",N/A,N/A,Wiktionary
1222,बहुत सा,hi,0,N/A,N/A,N/A,N/A
1223,सचमुच,hi,0,very truly,N/A,N/A,Wiktionary
1225,जिंदगी,hi,0,alternative spelling of ज़िंदगी (zindgī),N/A,N/A,Wiktionary
1226,क्यों,hi,0,why,N/A,N/A,Wiktionary
1228,नीचे,hi,0,"down, under, below",N/A,N/A,Wiktionary
1229,पर,hi,0,"but, however",nevertheless; ,N/A,Wiktionary
1230,कोशिश करो,hi,0,N/A,N/A,N/A,N/A
1231,होने देना,hi,0,N/A,N/A,N/A,N/A
1232,कोई चीज़,hi,0,N/A,N/A,N/A,N/A
1234,बुलाना,hi,0,to shout,to call out; to call,N/A,Wiktionary
1235,महिला,hi,0,"lady, female, woman",N/A,N/A,Wiktionary
1236,मई,hi,0,May,N/A,N/A,Wiktionary
1237,फिर भी,hi,0,"even then, still, in spite of that",N/A,N/A,Wiktionary
1238,के माध्यम से,hi,0,N/A,N/A,N/A,N/A
1239,अर्थ,hi,0,"meaning, purport","sense;  wealth, prosperity",N/A,Wiktionary
1241,कभी नहीँ,hi,0,N/A,N/A,N/A,N/A
